Date,Ticker,ClosePrice
9/23/2016,SPY,197.213699
9/26/2016,SPY,195.61586
9/27/2016,SPY,196.830215
9/28/2016,SPY,197.807251
9/29/2016,SPY,196.017593
9/30/2016,SPY,197.496796
10/3/2016,SPY,197.021957
10/4/2016,SPY,196.017593
10/5/2016,SPY,196.885056
10/6/2016,SPY,197.021957
10/7/2016,SPY,196.346313
10/10/2016,SPY,197.368927
10/11/2016,SPY,194.876236
10/12/2016,SPY,195.131943
10/13/2016,SPY,194.492767
10/14/2016,SPY,194.593201
10/17/2016,SPY,193.917572
10/18/2016,SPY,195.131943
10/19/2016,SPY,195.65239
10/20/2016,SPY,195.287155
10/21/2016,SPY,195.378464
10/24/2016,SPY,196.209366
10/25/2016,SPY,195.551926
10/26/2016,SPY,195.159302
10/27/2016,SPY,194.638855
10/28/2016,SPY,194.063599
10/31/2016,SPY,194.072769
11/1/2016,SPY,192.666641
11/2/2016,SPY,191.50705
11/3/2016,SPY,190.630463
11/4/2016,SPY,190.420502
11/7/2016,SPY,194.620621
11/8/2016,SPY,195.497147
11/9/2016,SPY,197.569839
11/10/2016,SPY,198.062851
11/11/2016,SPY,197.606308
11/14/2016,SPY,197.761566
11/15/2016,SPY,199.304642
11/16/2016,SPY,198.930267
11/17/2016,SPY,199.952942
11/18/2016,SPY,199.505478
11/21/2016,SPY,201.012054
11/22/2016,SPY,201.404709
11/23/2016,SPY,201.514252
11/25/2016,SPY,202.26297
11/28/2016,SPY,201.313416
11/29/2016,SPY,201.706024
11/30/2016,SPY,201.222076
12/1/2016,SPY,200.482529
12/2/2016,SPY,200.582932
12/5/2016,SPY,201.788208
12/6/2016,SPY,202.427368
12/7/2016,SPY,205.075211
12/8/2016,SPY,205.577393
12/9/2016,SPY,206.819183
12/12/2016,SPY,206.581802
12/13/2016,SPY,207.960541
12/14/2016,SPY,206.243988
12/15/2016,SPY,207.09314
12/16/2016,SPY,206.688065
12/19/2016,SPY,207.138092
12/20/2016,SPY,207.937195
12/21/2016,SPY,207.358521
12/22/2016,SPY,207.000366
12/23/2016,SPY,207.303482
12/27/2016,SPY,207.81778
12/28/2016,SPY,206.100281
12/29/2016,SPY,206.054352
12/30/2016,SPY,205.301224
1/3/2017,SPY,206.871765
1/4/2017,SPY,208.102493
1/5/2017,SPY,207.937195
1/6/2017,SPY,208.681107
1/9/2017,SPY,207.992294
1/10/2017,SPY,207.992294
1/11/2017,SPY,208.580124
1/12/2017,SPY,208.056564
1/13/2017,SPY,208.534164
1/17/2017,SPY,207.799423
1/18/2017,SPY,208.258621
1/19/2017,SPY,207.487137
1/20/2017,SPY,208.249451
1/23/2017,SPY,207.70755
1/24/2017,SPY,209.039352
1/25/2017,SPY,210.848679
1/26/2017,SPY,210.628265
1/27/2017,SPY,210.297592
1/30/2017,SPY,208.993393
1/31/2017,SPY,208.975021
2/1/2017,SPY,209.057678
2/2/2017,SPY,209.195465
2/3/2017,SPY,210.637436
2/6/2017,SPY,210.260864
2/7/2017,SPY,210.270035
2/8/2017,SPY,210.545578
2/9/2017,SPY,211.794662
2/10/2017,SPY,212.630447
2/13/2017,SPY,213.787735
2/14/2017,SPY,214.641846
2/15/2017,SPY,215.762375
2/16/2017,SPY,215.578705
2/17/2017,SPY,215.918518
2/21/2017,SPY,217.204391
2/22/2017,SPY,217.011459
2/23/2017,SPY,217.158447
2/24/2017,SPY,217.43396
2/27/2017,SPY,217.773788
2/28/2017,SPY,217.186005
3/1/2017,SPY,220.226028
3/2/2017,SPY,218.839172
3/3/2017,SPY,218.976974
3/6/2017,SPY,218.32489
3/7/2017,SPY,217.672775
3/8/2017,SPY,217.268616
3/9/2017,SPY,217.544144
3/10/2017,SPY,218.306473
3/13/2017,SPY,218.416687
3/14/2017,SPY,217.580887
3/15/2017,SPY,219.463745
3/16/2017,SPY,219.032043
3/17/2017,SPY,218.647385
3/20/2017,SPY,218.407562
3/21/2017,SPY,215.603348
3/22/2017,SPY,216.110672
3/23/2017,SPY,215.880051
3/24/2017,SPY,215.723267
3/27/2017,SPY,215.501862
3/28/2017,SPY,217.070023
3/29/2017,SPY,217.272964
3/30/2017,SPY,217.964783
3/31/2017,SPY,217.457443
4/3/2017,SPY,217.079239
4/4/2017,SPY,217.217621
4/5/2017,SPY,216.571884
4/6/2017,SPY,217.180679
4/7/2017,SPY,216.95932
4/10/2017,SPY,217.08847
4/11/2017,SPY,216.830154
4/12/2017,SPY,215.880051
4/13/2017,SPY,214.477936
4/17/2017,SPY,216.378189
4/18/2017,SPY,215.732483
4/19/2017,SPY,215.335846
4/20/2017,SPY,217.08847
4/21/2017,SPY,216.396606
4/24/2017,SPY,218.776535
4/25/2017,SPY,220.049515
4/26/2017,SPY,219.911133
4/27/2017,SPY,220.095596
4/28/2017,SPY,219.615967
5/1/2017,SPY,220.169418
5/2/2017,SPY,220.252441
5/3/2017,SPY,219.984955
5/4/2017,SPY,220.243225
5/5/2017,SPY,221.110275
5/8/2017,SPY,221.07341
5/9/2017,SPY,220.870483
5/10/2017,SPY,221.267151
5/11/2017,SPY,220.815155
5/12/2017,SPY,220.446167
5/15/2017,SPY,221.663818
5/16/2017,SPY,221.460861
5/17/2017,SPY,217.531235
5/18/2017,SPY,218.407562
5/19/2017,SPY,219.82814
5/22/2017,SPY,220.94429
5/23/2017,SPY,221.433182
5/24/2017,SPY,221.949768
5/25/2017,SPY,223.01059
5/26/2017,SPY,222.964447
5/30/2017,SPY,222.770737
5/31/2017,SPY,222.715363
6/1/2017,SPY,224.486465
6/2/2017,SPY,225.233658
6/5/2017,SPY,225.067612
6/6/2017,SPY,224.348114
6/7/2017,SPY,224.763199
6/8/2017,SPY,224.873932
6/9/2017,SPY,224.532623
6/12/2017,SPY,224.486465
6/13/2017,SPY,225.584183
6/14/2017,SPY,225.298248
6/15/2017,SPY,224.86467
6/16/2017,SPY,224.913818
6/19/2017,SPY,226.786255
6/20/2017,SPY,225.256775
6/21/2017,SPY,225.201157
6/22/2017,SPY,225.099213
6/23/2017,SPY,225.368011
6/26/2017,SPY,225.516312
6/27/2017,SPY,223.699539
6/28/2017,SPY,225.701721
6/29/2017,SPY,223.718048
6/30/2017,SPY,224.135178
7/3/2017,SPY,224.515244
7/5/2017,SPY,225.034317
7/6/2017,SPY,222.976532
7/7/2017,SPY,224.422546
7/10/2017,SPY,224.663544
7/11/2017,SPY,224.496689
7/12/2017,SPY,226.183762
7/13/2017,SPY,226.563782
7/14/2017,SPY,227.620499
7/17/2017,SPY,227.592682
7/18/2017,SPY,227.713181
7/19/2017,SPY,228.946045
7/20/2017,SPY,229.047974
7/21/2017,SPY,228.844055
7/24/2017,SPY,228.788452
7/25/2017,SPY,229.344635
7/26/2017,SPY,229.353867
7/27/2017,SPY,229.140671
7/28/2017,SPY,228.871857
7/31/2017,SPY,228.742096
8/1/2017,SPY,229.251907
8/2/2017,SPY,229.363159
8/3/2017,SPY,228.918228
8/4/2017,SPY,229.335373
8/7/2017,SPY,229.761719
8/8/2017,SPY,229.196304
8/9/2017,SPY,229.187027
8/10/2017,SPY,225.951981
8/11/2017,SPY,226.28569
8/14/2017,SPY,228.528885
8/15/2017,SPY,228.501099
8/16/2017,SPY,228.899643
8/17/2017,SPY,225.330933
8/18/2017,SPY,224.978745
8/21/2017,SPY,225.154816
8/22/2017,SPY,227.509262
8/23/2017,SPY,226.693558
8/24/2017,SPY,226.165176
8/25/2017,SPY,226.693558
8/28/2017,SPY,226.702866
8/29/2017,SPY,226.962357
8/30/2017,SPY,228.037628
8/31/2017,SPY,229.409485
9/1/2017,SPY,229.733932
9/5/2017,SPY,228.083954
9/6/2017,SPY,228.862564
9/7/2017,SPY,228.834763
9/8/2017,SPY,228.565994
9/11/2017,SPY,231.00386
9/12/2017,SPY,231.782501
9/13/2017,SPY,231.893707
9/14/2017,SPY,231.819534
9/15/2017,SPY,232.131592
9/18/2017,SPY,232.62532
9/19/2017,SPY,232.858246
9/20/2017,SPY,232.942032
9/21/2017,SPY,232.317932
9/22/2017,SPY,232.364517
9/25/2017,SPY,231.889404
9/26/2017,SPY,232.029144
9/27/2017,SPY,232.932755
9/28/2017,SPY,233.212204
9/29/2017,SPY,234.031982
10/2/2017,SPY,235.047363
10/3/2017,SPY,235.5504
10/4/2017,SPY,235.829849
10/5/2017,SPY,237.227158
10/6/2017,SPY,236.957031
10/9/2017,SPY,236.565765
10/10/2017,SPY,237.189896
10/11/2017,SPY,237.562515
10/12/2017,SPY,237.208572
10/13/2017,SPY,237.497345
10/16/2017,SPY,237.814041
10/17/2017,SPY,237.981735
10/18/2017,SPY,238.214615
10/19/2017,SPY,238.279816
10/20/2017,SPY,239.50943
10/23/2017,SPY,238.577896
10/24/2017,SPY,238.997101
10/25/2017,SPY,237.814041
10/26/2017,SPY,238.121445
10/27/2017,SPY,240.06839
10/30/2017,SPY,239.174118
10/31/2017,SPY,239.546707
11/1/2017,SPY,239.863449
11/2/2017,SPY,239.956589
11/3/2017,SPY,240.757736
11/6/2017,SPY,241.130356
11/7/2017,SPY,240.962708
11/8/2017,SPY,241.372528
11/9/2017,SPY,240.496933
11/10/2017,SPY,240.422363
11/13/2017,SPY,240.645935
11/14/2017,SPY,240.087021
11/15/2017,SPY,238.885315
11/16/2017,SPY,240.916092
11/17/2017,SPY,240.208099
11/20/2017,SPY,240.617966
11/21/2017,SPY,242.192261
11/22/2017,SPY,241.978058
11/24/2017,SPY,242.536957
11/27/2017,SPY,242.415909
11/28/2017,SPY,244.875107
11/29/2017,SPY,244.726059
11/30/2017,SPY,246.868729
12/1/2017,SPY,246.356369
12/4/2017,SPY,246.058228
12/5/2017,SPY,245.173264
12/6/2017,SPY,245.219818
12/7/2017,SPY,245.993011
12/8/2017,SPY,247.334442
12/11/2017,SPY,248.079681
12/12/2017,SPY,248.517456
12/13/2017,SPY,248.489594
12/14/2017,SPY,247.474152
12/15/2017,SPY,249.535019
12/18/2017,SPY,251.117325
12/19/2017,SPY,250.152939
12/20/2017,SPY,250.021866
12/21/2017,SPY,250.536819
12/22/2017,SPY,250.471329
12/26/2017,SPY,250.171646
12/27/2017,SPY,250.293365
12/28/2017,SPY,250.80835
12/29/2017,SPY,249.862732
1/2/2018,SPY,251.651062
1/3/2018,SPY,253.242752
1/4/2018,SPY,254.31015
1/5/2018,SPY,256.004852
1/8/2018,SPY,256.472992
1/9/2018,SPY,257.053558
1/10/2018,SPY,256.660278
1/11/2018,SPY,258.532837
1/12/2018,SPY,260.218231
1/16/2018,SPY,259.328735
1/17/2018,SPY,261.800598
1/18/2018,SPY,261.360535
1/19/2018,SPY,262.549683
1/22/2018,SPY,264.684387
1/23/2018,SPY,265.246185
1/24/2018,SPY,265.143188
1/25/2018,SPY,265.255554
1/26/2018,SPY,268.32663
1/29/2018,SPY,266.547607
1/30/2018,SPY,263.813629
1/31/2018,SPY,263.944702
2/1/2018,SPY,263.645142
2/2/2018,SPY,257.905579
2/5/2018,SPY,247.119308
2/6/2018,SPY,251.988098
